SiteName,State,Ecoregion,Latitude,Longitude,SampleDate,SampleYear,SampleMonth,Substrate,Nfix_Mean_uMolN2m2hr,Nfix_SD_uMolN2m2hr,Nfix_StdErr_uMolN2m2hr,Nfix_95CI_uMolN2m2hr
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Rock,0.12,0.1,0.06,0.12
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Sediment,0.01,0.06,0.03,0.06
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Wood,0.15,0.15,0.11,0.21
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Clay,0.09,,,
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Rock,-0.16,0.06,0.04,0.08
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Sediment,0.09,0.06,0.04,0.07
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Wood,-0.02,0.02,0.01,0.02
Arikaree River,CO,Central Plains,39.75825,-102.4471,11-Jul-17,2017,July,Macrophyte,16.22,17.89,8.94,17.53
Arikaree River,CO,Central Plains,39.75825,-102.4471,11-Jul-17,2017,July,Sediment,1.17,1.46,0.65,1.28
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Rock,-0.11,0.19,0.11,0.21
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Sediment,0.14,0.18,0.1,0.2
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Wood,0.1,0.14,0.1,0.2
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Rock,0.03,0.09,0.06,0.12
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Rock Flock,-0.03,0.07,0.05,0.1
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Wood,0,0.05,0.03,0.07
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Macrophyte,0.01,0.01,0.01,0.02
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Rock,18.08,6.37,3.19,6.25
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Sediment,0.19,0.06,0.05,0.09
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Wood,3.7,5,3.53,6.93
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Macrophyte,-0.04,0.22,0.16,0.31
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Rock,-0.1,0.25,0.18,0.34
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Sediment,-0.01,0.11,0.06,0.12
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Wood,0.08,0.02,0.02,0.03
Brewery Creek,WI,Prairie Peninsula,43.125,-89.635,11-Aug-17,2017,August,Macrophyte,-0.01,0.01,0.01,0.02
Brewery Creek,WI,Prairie Peninsula,43.125,-89.635,11-Aug-17,2017,August,Sediment,-0.1,0.12,0.07,0.13
Brewery Creek,WI,Prairie Peninsula,43.125,-89.635,11-Aug-17,2017,August,Wood,-0.07,0.17,0.12,0.23
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,27-May-18,2018,May,Rock,0.08,0.44,0.26,0.5
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,27-May-18,2018,May,Sediment,-0.2,0.26,0.15,0.29
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,27-May-18,2018,May,Wood,0.05,0.08,0.06,0.11
Ichetucknee River,FL,Southeast,29.9526,-82.7863,31-May-18,2018,May,Macrophyte,-0.03,0.13,0.07,0.15
Ichetucknee River,FL,Southeast,29.9526,-82.7863,31-May-18,2018,May,Sediment,0.35,0.56,0.39,0.77
Ichetucknee River,FL,Southeast,29.9526,-82.7863,31-May-18,2018,May,Wood,-0.03,0.06,0.04,0.08
Alexander Springs,FL,Southeast,29.0812,-81.5662,2-Jun-18,2018,June,Macrophyte,4.71,4.27,2.13,4.18
Alexander Springs,FL,Southeast,29.0812,-81.5662,2-Jun-18,2018,June,Sediment,0.24,0.31,0.18,0.35
Alexander Springs,FL,Southeast,29.0812,-81.5662,2-Jun-18,2018,June,Wood,0.32,0.44,0.31,0.61
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Pebble ,0.8,0.41,0.29,0.56
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Rock,2.04,1.96,1.38,2.71
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Sediment,0.31,0.26,0.15,0.29
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Wood,0.56,0.85,0.6,1.17
McDiffit Creek,KS,Prairie Peninsula,38.94428,-96.44197,12-Jun-18,2018,June,Rock,1.36,1.49,0.86,1.69
McDiffit Creek,KS,Prairie Peninsula,38.94428,-96.44197,12-Jun-18,2018,June,Sediment,0.17,0.16,0.1,0.19
McDiffit Creek,KS,Prairie Peninsula,38.94428,-96.44197,12-Jun-18,2018,June,Wood,0.3,0.01,0.01,0.02
Kings Creek,KS,Prairie Peninsula,39.10506,-96.60336,13-Jun-18,2018,June,Rock,3.11,3.15,2.23,4.37
Kings Creek,KS,Prairie Peninsula,39.10506,-96.60336,13-Jun-18,2018,June,Sediment,0.98,0.73,0.42,0.82
Kings Creek,KS,Prairie Peninsula,39.10506,-96.60336,13-Jun-18,2018,June,Wood,1.24,0.52,0.37,0.72
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,21-Jun-18,2018,June,Rock,0.84,0.02,0.01,0.02
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,21-Jun-18,2018,June,Sediment,0.16,0.19,0.11,0.22
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,21-Jun-18,2018,June,Wood,0.12,0.18,0.13,0.25
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,17-Jul-18,2018,July,Rock,-0.1,0.29,0.2,0.4
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,17-Jul-18,2018,July,Sediment,0.03,0.05,0.03,0.06
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,17-Jul-18,2018,July,Wood,0.15,0.08,0.06,0.11
Hubbard Brook,NH,Northeast,43.9549,-71.7225,7-Aug-18,2018,August,Rock,0.21,0.84,0.34,0.67
Hubbard Brook,NH,Northeast,43.9549,-71.7225,7-Aug-18,2018,August,Bedrock scrape,-0.12,0.1,0.05,0.1
Wednesday Hill Brook,NH,Northeast,43.1222,-71.0049,9-Aug-18,2018,August,Rock Flock,-2.6,2.21,1.27,2.5
Wednesday Hill Brook,NH,Northeast,43.1222,-71.0049,9-Aug-18,2018,August,Sediment,-0.49,1.36,0.96,1.88
Wednesday Hill Brook,NH,Northeast,43.1222,-71.0049,9-Aug-18,2018,August,Wood,0.06,0.17,0.1,0.19
Dowst Cast Forest,NH,Northeast,43.1344,-71.1838,10-Aug-18,2018,August,Pebble ,1.93,0.15,0.11,0.21
Dowst Cast Forest,NH,Northeast,43.1344,-71.1838,10-Aug-18,2018,August,Rock,-0.6,1.86,1.07,2.1
Dowst Cast Forest,NH,Northeast,43.1344,-71.1838,10-Aug-18,2018,August,Wood,1.95,2.4,1.7,3.33
Hop Brook,MA,Northeast,42.47179,-72.32963,15-Aug-18,2018,August,Rock,-5.98,4.79,2.77,5.42
Hop Brook,MA,Northeast,42.47179,-72.32963,15-Aug-18,2018,August,Sediment,7.74,0.09,0.06,0.12
Hop Brook,MA,Northeast,42.47179,-72.32963,15-Aug-18,2018,August,Wood,-2.54,0.33,0.24,0.46
Rio Guillarte,PR,Atlantic Neotropical,18.1741,-66.79851,21-Feb-19,2019,February,algae,0.02,,,
Rio Guillarte,PR,Atlantic Neotropical,18.1741,-66.79851,21-Feb-19,2019,February,CPOM,0,,,
Rio Guillarte,PR,Atlantic Neotropical,18.1741,-66.79851,21-Feb-19,2019,February,gravel,0.02,,,
Rio Guillarte,PR,Atlantic Neotropical,18.1741,-66.79851,21-Feb-19,2019,February,Rock,-0.01,0.02,0.01,0.02
Rio Cupeyes,PR,Atlantic Neotropical,18.11352,-66.98676,23-Feb-19,2019,February,CPOM,0,,,
Rio Cupeyes,PR,Atlantic Neotropical,18.11352,-66.98676,23-Feb-19,2019,February,Pebble,0,0,0,0
Rio Cupeyes,PR,Atlantic Neotropical,18.11352,-66.98676,23-Feb-19,2019,February,Rock,-0.01,0.01,0,0.01
Prieta Stream,PR,Atlantic Neotropical,18.324,-65.8151,3-Mar-19,2019,March,Rock,-0.03,0.01,0.01,0.02
Prieta Stream,PR,Atlantic Neotropical,18.324,-65.8151,3-Mar-19,2019,March,Sediment,0,0.01,0,0.01
Prieta Stream,PR,Atlantic Neotropical,18.324,-65.8151,3-Mar-19,2019,March,Wood,0,0.01,0.01,0.02
Sonadora Stream,PR,Atlantic Neotropical,18.3213,-65.8171,5-Mar-19,2019,March,Rock,0.03,0.05,0.03,0.07
Sonadora Stream,PR,Atlantic Neotropical,18.3213,-65.8171,5-Mar-19,2019,March,Wood,0,0.01,0,0.01
Kings Creek,KS,Prairie Peninsula,39.10506,-96.60336,10-May-19,2019,May,Rock,0.06,0.04,0.02,0.04
Kings Creek,KS,Prairie Peninsula,39.10506,-96.60336,10-May-19,2019,May,Sediment,-0.02,0.01,0.01,0.02
Kings Creek,KS,Prairie Peninsula,39.10506,-96.60336,10-May-19,2019,May,Wood,-0.02,0,0,0
Sycamore Creek,AZ,Desert Southwest,33.74906,-111.5069,14-May-19,2019,May,algae,0.01,0.02,0.01,0.03
Sycamore Creek,AZ,Desert Southwest,33.74906,-111.5069,14-May-19,2019,May,Rock,0.06,0.08,0.06,0.11
Sycamore Creek,AZ,Desert Southwest,33.74906,-111.5069,14-May-19,2019,May,Sediment,-0.01,0.01,0.01,0.01
Sycamore Creek,AZ,Desert Southwest,33.74906,-111.5069,14-May-19,2019,May,Wood,0.17,0.04,0.03,0.06
Wet Beaver Creek,AZ,Desert Southwest,34.6793,-111.695,16-May-19,2019,May,Rock,1.08,0.67,0.39,0.76
Wet Beaver Creek,AZ,Desert Southwest,34.6793,-111.695,16-May-19,2019,May,Sediment,0.01,0,0,0
Wet Beaver Creek,AZ,Desert Southwest,34.6793,-111.695,16-May-19,2019,May,Wood,0.25,0.2,0.14,0.27
Arikaree River,CO,Central Plains,39.75825,-102.4471,24-May-19,2019,May,algae,13.46,5.52,3.19,6.25
Arikaree River,CO,Central Plains,39.75825,-102.4471,24-May-19,2019,May,Sediment,0.29,0.25,0.14,0.28
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,13-Jun-19,2019,June,Rock,0.21,0.23,0.13,0.26
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,13-Jun-19,2019,June,Sediment,0.05,0.04,0.02,0.04
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,13-Jun-19,2019,June,Wood,0.01,0.02,0.02,0.03
Caribou Creek,AK,Taiga,65.15306,-147.50246,9-Jul-19,2019,July,Rock,-0.01,0.02,0.01,0.03
Caribou Creek,AK,Taiga,65.15306,-147.50246,9-Jul-19,2019,July,Sediment,-0.01,0.01,0.01,0.02
Caribou Creek,AK,Taiga,65.15306,-147.50246,9-Jul-19,2019,July,Wood,0,0,0,0.01
Poker Creek,AK,Taiga,65.1528,-147.4867,10-Jul-19,2019,July,Rock,-0.03,0.08,0.06,0.11
Poker Creek,AK,Taiga,65.1528,-147.4867,10-Jul-19,2019,July,Sediment,0.04,0.04,0.02,0.05
Poker Creek,AK,Taiga,65.1528,-147.4867,10-Jul-19,2019,July,Wood,0.03,0.01,0,0.01
Blacktail Deer Creek,WY,Northern Rockies,44.95011,-110.58715,30-Jul-19,2019,July,Rock,11.11,7.59,4.38,8.59
Blacktail Deer Creek,WY,Northern Rockies,44.95011,-110.58715,30-Jul-19,2019,July,Sediment,0.05,0.01,0.01,0.01
Blacktail Deer Creek,WY,Northern Rockies,44.95011,-110.58715,30-Jul-19,2019,July,Wood,0.24,0.32,0.22,0.44
McRae Creek,OR,Pacific Northwest,44.2596,-122.16555,3-Aug-19,2019,August,Rock,-0.01,0.03,0.02,0.03
McRae Creek,OR,Pacific Northwest,44.2596,-122.16555,3-Aug-19,2019,August,Sediment,0.02,0.02,0.01,0.03
McRae Creek,OR,Pacific Northwest,44.2596,-122.16555,3-Aug-19,2019,August,Wood,0,0,0,0
Martha Creek,WA,Pacific Northwest,45.79125,-121.93196,6-Aug-19,2019,August,Rock,0.27,0.41,0.21,0.4
Martha Creek,WA,Pacific Northwest,45.79125,-121.93196,6-Aug-19,2019,August,Sediment,0.05,0.01,0.01,0.02
Martha Creek,WA,Pacific Northwest,45.79125,-121.93196,6-Aug-19,2019,August,Wood,0.93,0.75,0.53,1.04
Creston Creek,MT,Northern Rockies,48.1885,-114.1327,10-Aug-19,2019,August,Macrophyte,0.01,0.01,0.01,0.01
Creston Creek,MT,Northern Rockies,48.1885,-114.1327,10-Aug-19,2019,August,Rock,0.01,0.02,0.01,0.02
Creston Creek,MT,Northern Rockies,48.1885,-114.1327,10-Aug-19,2019,August,Sediment,0.01,,,
Creston Creek,MT,Northern Rockies,48.1885,-114.1327,10-Aug-19,2019,August,Wood,0,0.01,0.01,0.01
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,9-Sep-19,2019,September,Rock,0.03,0.02,0.01,0.02
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,9-Sep-19,2019,September,Sediment,-0.01,0,0,0.01
Pilgrim River,MI,Great Lakes,47.1013,-88.5176,9-Sep-19,2019,September,Wood,0.02,0.01,0.01,0.01